id_Ville,Num_Dep,Nom_Ville,Longitude,Latitude
227,1,ANGLEFORT,5.80833,45.9167
228,1,CORLIER,5.5,46.0333
229,1,FERNEY-VOLTAIRE,6.11667,46.25
230,1,SAINT-MAURICE-DE-REMENS,5.28333,45.95
231,1,CHATILLON-LA-PALUD,5.25,45.9667
232,1,SAINT-SULPICE,5.04167,46.3203
233,1,SAINT-BOIS,5.63333,45.7
234,1,VIRIGNIN,5.71667,45.7167
235,1,PREMILLIEU,5.56667,45.8667
236,1,GENOUILLEUX,4.78333,46.1167
237,1,REYSSOUZE,4.91667,46.4333
238,1,COLLONGES,5.9,46.1333
239,1,SAINT-GERMAIN-DE-JOUX,5.73333,46.1833
240,1,BREGNIER-CORDON,5.61667,45.65
241,1,SAINT-MARTIN-LE-CHATEL,5.11667,46.2833
242,1,MARIGNIEU,5.71667,45.8
243,1,LES NEYROLLES,5.63333,46.1333
244,1,SULIGNAT,4.96667,46.1667
245,1,BENY,5.28333,46.3333
246,1,INJOUX-GENISSIAT,5.78333,46.05
247,1,CHANAY,5.78333,46
248,1,CHATILLON-SUR-CHALARONNE,4.96667,46.1167
249,1,FARGES,5.91667,46.1667
250,1,SAINT-ALBAN,5.45,46.1
251,1,CURTAFOND,5.08333,46.2667
252,1,VIRIAT,5.21667,46.25
253,1,BELLEYDOUX,5.76667,46.25
254,1,BAGE-LE-CHATEL,4.93333,46.3
255,1,SAINTE-OLIVE,4.93333,46.0167
256,1,SAINT-GENIS-SUR-MENTHON,5.01667,46.2833
257,1,DOMSURE,5.3,46.4167
258,1,CHAVANNES-SUR-SURAN,5.41667,46.2667
259,1,PRIAY,5.28333,46
260,1,PEYRIEU,5.67751,45.6767
261,1,LALLEYRIAT,5.71667,46.15
262,1,SERGY,6,46.25
263,1,SAINT-MARTIN-DU-FRENE,5.55,46.1333
264,1,SAINT-MAURICE-DE-BEYNOST,4.96667,45.8333
265,1,SERVAS,5.16667,46.1333
266,1,CUZIEU,5.67445,45.8192
267,1,JAYAT,5.11667,46.3667
268,1,LAVOURS,5.76667,45.8
269,1,CHEVROUX,4.95,46.3833
270,1,POLLIEU,5.75,45.8
271,1,BELIGNEUX,5.11667,45.8667
272,1,BRENAZ,5.71667,45.95
273,1,BENONCES,5.48333,45.8333
274,1,SAINT-JEAN-LE-VIEUX,5.38917,46.0284
275,1,BEAUREGARD,4.75139,46.002
276,1,OYONNAX,5.66667,46.25
277,1,MIONNAY,4.93333,45.9
278,1,GERMAGNAT,5.45,46.3167
279,1,COLIGNY,5.35,46.3833
280,1,SIMANDRE-SUR-SURAN,5.41667,46.2167
281,1,L'ABERGEMENT-CLEMENCIAT,4.91667,46.15
282,1,LESCHEROUX,5.15,46.4
283,1,ORNEX,6.1,46.2833
284,1,DOMMARTIN,4.99167,46.3417
285,1,LOMPNAS,5.51667,45.8
286,1,BETTANT,5.36667,45.9333
287,1,ARMIX,5.58333,45.85
288,1,FEILLENS,4.88333,46.3333
289,1,CHAVORNAY,5.7,45.8833
290,1,CHALLEX,5.96667,46.1833
291,1,VONGNES,5.71667,45.8167
292,1,MAGNIEU,5.71667,45.7833
293,1,GROISSIAT,5.6,46.2167
294,1,DOMPIERRE-SUR-CHALARONNE,4.9,46.1333
295,1,MONTLUEL,5.05,45.85
296,1,LE POIZAT,5.7,46.15
297,1,HOSTIAZ,5.53333,45.9
298,1,MONTANGES,5.8,46.1667
299,1,SAINTE-JULIE,5.28333,45.8833
300,1,BEY,4.85,46.2167
301,1,SONTHONNAX-LA-MONTAGNE,5.53333,46.2333
302,1,MEZERIAT,5.03333,46.2333
303,1,BELLIGNAT,5.61667,46.25
304,1,SAINT-MARCEL,4.98723,45.9487
305,1,BELLEY,5.68333,45.7667
306,1,CORBONOD,5.81667,45.95
307,1,NEYRON,4.93223,45.8148
308,1,SAINT-PAUL-DE-VARAX,5.13333,46.1
309,1,PRESSIAT,5.38333,46.3333
310,1,CHAZEY-BONS,5.68333,45.8
311,1,SERVIGNAT,5.06667,46.4333
312,1,MARLIEUX,5.06667,46.0667
313,1,ANDERT-ET-CONDON,5.65,45.8
314,1,HAUTECOURT-ROMANECHE,5.41667,46.1583
315,1,CROTTET,4.9,46.2833
316,1,DRUILLAT,5.31667,46.0667
317,1,DOMPIERRE-SUR-VEYLE,5.2,46.0667
318,1,PEROUGES,5.18333,45.9
319,1,RIGNIEUX-LE-FRANC,5.18333,45.9333
320,1,GIRON,5.76667,46.2333
321,1,CERDON,5.46667,46.0833
322,1,CRUZILLES-LES-MEPILLAT,4.88333,46.2167
323,1,LELEX,5.95,46.3
324,1,LHOPITAL,5.77834,46.0217
325,1,SEGNY,6.08333,46.3
326,1,CHEIGNIEU-LA-BALME,5.61667,45.8333
327,1,SAINT-VULBAS,5.28333,45.8333
328,1,ECHALLON,5.74139,46.21
329,1,LE MONTELLIER,5.06667,45.9333
330,1,MARTIGNAT,5.6,46.2167
331,1,CEYZERIAT,5.31667,46.1667
332,1,MONTCET,5.11667,46.2
333,1,VONNAS,5,46.2167
334,1,BUELLAS,5.13333,46.2
335,1,SAINT-BENIGNE,4.96667,46.4333
336,1,CHEVILLARD,5.58333,46.1167
337,1,BOULIGNEUX,5,46.0167
338,1,CONTREVOZ,5.63333,45.8
339,1,CHAMPDOR,5.6,46.0167
340,1,PORT,5.56667,46.1667
341,1,SURJOUX,5.8,46.0167
342,1,CHAMPFROMIER,5.81667,46.2
343,1,VESINES,4.86667,46.35
344,1,SEILLONNAZ,5.48333,45.8
345,1,VARAMBON,5.31667,46.0333
346,1,LE GRAND-ABERGEMENT,5.66667,46.0333
347,1,JASSANS-RIOTTIER,4.75,45.9833
348,1,ASNIERES-SUR-SAONE,4.88333,46.3833
349,1,CONDAMINE,5.56667,46.1167
350,1,LHUIS,5.53333,45.75
351,1,ROMANS,5.03333,46.1167
352,1,PIZAY,5.08333,45.8833
353,1,CERTINES,5.26667,46.1333
354,1,RUFFIEU,5.66667,46
355,1,MEXIMIEUX,5.2,45.9
356,1,SAINT-RAMBERT-EN-BUGEY,5.43333,45.95
357,1,AMBRONAY,5.35,46
358,1,CIZE,5.43333,46.2
