Num_commune,Num_Dep,Nom_Ville,Longitude,Latitude
01410,01,SONTHONNAX-LA-MONTAGNE,5.53333,46.2333
01246,01,MEZERIAT,5.03333,46.2333
01031,01,BELLIGNAT,5.61667,46.25
01371,01,SAINT-MARCEL,4.98723,45.9487
01034,01,BELLEY,5.68333,45.7667
01118,01,CORBONOD,5.81667,45.95
01275,01,NEYRON,4.93223,45.8148
01383,01,SAINT-PAUL-DE-VARAX,5.13333,46.1
01312,01,PRESSIAT,5.38333,46.3333
01098,01,CHAZEY-BONS,5.68333,45.8
01406,01,SERVIGNAT,5.06667,46.4333
01235,01,MARLIEUX,5.06667,46.0667
01009,01,ANDERT-ET-CONDON,5.65,45.8
01184,01,HAUTECOURT-ROMANECHE,5.41667,46.1583
01134,01,CROTTET,4.9,46.2833
01151,01,DRUILLAT,5.31667,46.0667
01145,01,DOMPIERRE-SUR-VEYLE,5.2,46.0667
01290,01,PEROUGES,5.18333,45.9
01325,01,RIGNIEUX-LE-FRANC,5.18333,45.9333
01174,01,GIRON,5.76667,46.2333
01068,01,CERDON,5.46667,46.0833
01136,01,CRUZILLES-LES-MEPILLAT,4.88333,46.2167
01210,01,LELEX,5.95,46.3
01215,01,LHOPITAL,5.77834,46.0217
01399,01,SEGNY,6.08333,46.3
01100,01,CHEIGNIEU-LA-BALME,5.61667,45.8333
01390,01,SAINT-VULBAS,5.28333,45.8333
01152,01,ECHALLON,5.74139,46.21
01260,01,LE MONTELLIER,5.06667,45.9333
01237,01,MARTIGNAT,5.6,46.2167
01072,01,CEYZERIAT,5.31667,46.1667
01259,01,MONTCET,5.11667,46.2
01457,01,VONNAS,5,46.2167
01065,01,BUELLAS,5.13333,46.2
01337,01,SAINT-BENIGNE,4.96667,46.4333
01101,01,CHEVILLARD,5.58333,46.1167
01052,01,BOULIGNEUX,5,46.0167
01116,01,CONTREVOZ,5.63333,45.8
01080,01,CHAMPDOR,5.6,46.0167
01307,01,PORT,5.56667,46.1667
01413,01,SURJOUX,5.8,46.0167
01081,01,CHAMPFROMIER,5.81667,46.2
01439,01,VESINES,4.86667,46.35
01400,01,SEILLONNAZ,5.48333,45.8
01430,01,VARAMBON,5.31667,46.0333
01176,01,LE GRAND-ABERGEMENT,5.66667,46.0333
01194,01,JASSANS-RIOTTIER,4.75,45.9833
01023,01,ASNIERES-SUR-SAONE,4.88333,46.3833
01112,01,CONDAMINE,5.56667,46.1167
01216,01,LHUIS,5.53333,45.75
01328,01,ROMANS,5.03333,46.1167
01297,01,PIZAY,5.08333,45.8833
01069,01,CERTINES,5.26667,46.1333
01330,01,RUFFIEU,5.66667,46
01244,01,MEXIMIEUX,5.2,45.9
01384,01,SAINT-RAMBERT-EN-BUGEY,5.43333,45.95
01007,01,AMBRONAY,5.35,46
01106,01,CIZE,5.43333,46.2
01359,01,SAINT-GERMAIN-SUR-RENON,5.05,46.0833
01449,01,VILLETTE-SUR-AIN,5.26862,45.9884
01142,01,DAGNEUX,5.06667,45.85
01050,01,BOISSEY,5,46.3833
01391,01,SALAVRE,5.35,46.3667
01063,01,BRION,5.55251,46.1728
01200,01,LABALME,5.48333,46.1
01397,01,SAUVERNY,6.11667,46.3167
01258,01,MONTCEAUX,4.8,46.1
01060,01,BRENOD,5.6,46.0667
01250,01,MISERIEUX,4.81667,45.9833
01313,01,PREVESSIN-MOENS,6.08333,46.25
01211,01,LENT,5.2,46.1167
01236,01,MARSONNAS,5.06667,46.3333
01231,01,MANZIAT,4.9,46.35
01427,01,TREVOUX,4.76667,45.9333
01033,01,BELLEGARDE-SUR-VALSERINE,5.81667,46.1
01053,01,BOURG-EN-BRESSE,5.21667,46.2
01114,01,CONFORT,5.81667,46.15
01344,01,SAINT-DENIS-LES-BOURG,5.2,46.2
01239,01,MASSIGNIEU-DE-RIVES,5.76667,45.75
01351,01,SAINT-ETIENNE-SUR-CHALARONNE,4.86667,46.15
01245,01,BOHAS-MEYRIAT-RIGNAT,5.4,46.1333
01103,01,CHEVRY,6.03333,46.2833
01157,01,FAREINS,4.76667,46.0167
01175,01,GORREVOD,4.95,46.4167
01428,01,VALEINS,4.86667,46.1167
01441,01,VIEU-D'IZENAVE,5.53333,46.0833
01423,01,TOUSSIEUX,4.83333,45.9667
01016,01,ARBIGNY,4.96667,46.4667
01229,01,MALAFRETAZ,5.15,46.3167
01392,01,SAMOGNAT,5.58333,46.25
01130,01,CRAS-SUR-REYSSOUZE,5.16667,46.3
01243,01,MESSIMY-SUR-SAONE,4.76473,46.0484
01308,01,POUGNY,5.95,46.1333
01393,01,SANDRANS,4.98333,46.0667
01306,01,PONT-DE-VEYLE,4.88333,46.2667
01247,01,MIJOUX,6,46.3667
01360,01,SAINT-JEAN-DE-GONVILLE,5.95,46.2167
01335,01,SAINT-ANDRE-LE-BOUCHOUX,5.08333,46.1167
01083,01,CHANEINS,4.85,46.1
01198,01,JOYEUX,5.1,45.95
01424,01,TRAMOYES,4.96667,45.8667
01046,01,BIZIAT,4.93333,46.2167
01191,01,IZENAVE,5.53333,46.0333
01036,01,BELMONT-LUTHEZIEU,5.66167,45.8795
01014,01,ARBENT,5.68333,46.3
01414,01,SUTRIEU,5.65,45.95
01403,01,SERRIERES-DE-BRIORD,5.45445,45.8081
01012,01,ARANC,5.5,46
01076,01,CHALEY,5.53333,45.95
01139,01,CURCIAT-DONGALON,5.15,46.4667
01224,01,LOYETTES,5.2,45.7667
01173,01,GEX,6.06667,46.3333
01128,01,COURTES,5.1,46.4667
01040,01,BEREZIAT,5.05,46.3667
01207,01,LAPEYROUSE,4.96667,45.9833
01011,01,APREMONT,5.65833,46.2083
01450,01,VILLIEU-LOYES-MOLLON,5.22223,45.9206
01213,01,LEYMENT,5.3,45.9167
01154,01,ETREZ,5.18333,46.3333
02341,02,GERCY,3.86667,49.8167
02804,02,VILLEMONTOIRE,3.33333,49.3
02112,02,BRANCOURT-LE-GRAND,3.38333,49.9667
02428,02,LICY-CLIGNON,3.26667,49.1
02624,02,PROISY,3.73333,49.9
02157,02,CHAMBRY,3.65,49.6
02522,02,MONT-SAINT-JEAN,4.2,49.7833
02526,02,MORGNY-EN-THIERACHE,4.06667,49.7667
02481,02,MESNIL-SAINT-LAURENT,3.35,49.8333
02019,02,ANNOIS,3.16667,49.7167
02126,02,BRUNEHAMEL,4.18333,49.7667
02034,02,AUDIGNICOURT,3.13333,49.4833
02517,02,MONTIGNY-SUR-CRECY,3.58333,49.7167
02440,02,LOR,4.05,49.5333
02189,02,CHIVRES-EN-LAONNOIS,3.85,49.6333
02680,02,SAINT-GOBAIN,3.38333,49.6
02754,02,UGNY-LE-GAY,3.16667,49.6667
02367,02,HAPPENCOURT,3.18333,49.7833
02626,02,PROUVAIS,3.98333,49.4667
02042,02,AZY-SUR-MARNE,3.36667,49
02739,02,TERNY-SORNY,3.36667,49.45
02272,02,DROIZY,3.38333,49.2833
02601,02,PIGNICOURT,4.03333,49.4167
02531,02,MOUSSY-VERNEUIL,3.63333,49.4167
02005,02,AGUILCOURT,3.96667,49.4
02498,02,MONTAIGU,3.83333,49.5333
02530,02,MOULINS,3.68333,49.4167
02701,02,SAULCHERY,3.3,48.9833
02537,02,NANTEUIL-LA-FOSSE,3.45,49.4333
02360,02,GUIGNICOURT,3.96667,49.4333
02131,02,BUCY-LE-LONG,3.38333,49.4
02438,02,LONGPONT,3.21667,49.2667
02506,02,MONTGOBERT,3.15,49.3
02556,02,NOIRCOURT,4.1,49.6667
02662,02,ROZET-SAINT-ALBIN,3.3,49.2
02191,02,CHIVY-LES-ETOUVELLES,3.58333,49.5167
02176,02,CHAVONNE,3.56667,49.4
02026,02,ARTONGES,3.55,48.9333
02569,02,OISY,3.66667,50.0167
02398,02,JUVIGNY,3.31667,49.45
02458,02,MARCHAIS-EN-BRIE,3.48333,48.8833
02102,02,BOUCONVILLE-VAUCLAIR,3.75556,49.4656
02109,02,LA BOUTEILLE,3.96667,49.8667
02446,02,LY-FONTAINE,3.3,49.7167
02435,02,LOGNY-LES-AUBENTON,4.2,49.8333
02248,02,CUIRIEUX,3.81667,49.6833
02386,02,IRON,3.66667,49.95
02392,02,JONCOURT,3.3,49.95
02275,02,EFFRY,4,49.9333
02396,02,JUMIGNY,3.71667,49.4167
02160,02,CHAOURSE,4,49.7
02693,02,SAINT-REMY-BLANZY,3.3,49.2333
02056,02,BEAUMONT-EN-BEINE,3.13333,49.7
02606,02,LE PLESSIER-HULEU,3.35,49.2333
02291,02,ESTREES,3.28333,49.9667
02053,02,BAULNE-EN-BRIE,3.61667,48.9833
02362,02,GUIVRY,3.11667,49.65
02761,02,VARISCOURT,3.98333,49.4167
02170,02,CHATILLON-SUR-OISE,3.4,49.7833
02722,02,SOISSONS,3.33333,49.3667
02117,02,BRAY-SAINT-CHRISTOPHE,3.15,49.7667
02379,02,LE HERIE-LA-VIEVILLE,3.63333,49.8167
02031,02,AUBENTON,4.2,49.8333
02118,02,BRAYE,3.36667,49.4333
02123,02,BRISSAY-CHOIGNY,3.36667,49.7167
02637,02,REMAUCOURT,3.33333,49.9
02710,02,SERAUCOURT-LE-GRAND,3.21667,49.7833
02073,02,BERRY-AU-BAC,3.9,49.4
02821,02,VIVAISE,3.56667,49.6167
02627,02,PROVISEUX-ET-PLESNOY,4,49.4667
02145,02,CAUMONT,3.18333,49.6167
02813,02,VILLERS-LE-SEC,3.5,49.7833
02796,02,VICHEL-NANTEUIL,3.28333,49.1833
02654,02,ROMERY,3.73333,49.9
02320,02,FONTAINE-LES-CLERCS,3.21667,49.8
02180,02,CHERY-LES-POUILLY,3.6,49.65
02604,02,PITHON,3.1,49.75
02058,02,BEAURIEUX,3.73333,49.4
02719,02,SINCENY,3.25,49.6
02104,02,BOUFFIGNEREUX,3.85,49.3667
02679,02,SAINT-GENGOULPH,3.21667,49.1167
02591,02,PARGNY-LES-BOIS,3.61667,49.7167
02512,02,MONTIGNY-L'ALLIER,3.1,49.1167
02083,02,BEUVARDES,3.48333,49.15
02252,02,CUISSY-ET-GENY,3.7,49.4167
02645,02,REUILLY-SAUVIGNY,3.55,49.0667
02758,02,VAILLY-SUR-AISNE,3.51667,49.4167
02088,02,BIEVRES,3.71667,49.5
02071,02,BERNY-RIVIERE,3.15,49.4167
02597,02,PERLES,3.65,49.3167
02325,02,FONTENELLE-EN-BRIE,3.48333,48.9167
02542,02,NEUFLIEUX,3.16667,49.6
02675,02,SAINTE-CROIX,3.78333,49.4833
02590,02,PARGNY-LA-DHUYS,3.55,48.95
02120,02,BRENELLE,3.53333,49.3667
02756,02,URVILLERS,3.31667,49.7833
